epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
24,18.580484129714964,4.492845491409302,0.0964,relu,naive_uniform,1.0,604.0861307250129,4398.741636872292,0.7760278118981255,0.004417074099183083
25,23.430949647521974,4.306769396591187,0.0964,relu,naive_uniform,1.0,616.1195663536588,4497.221160749595,0.7761147816975912,0.004395509138703346
26,13.54751629371643,3.7924590133666993,0.0964,relu,naive_uniform,1.0,622.6138812245595,4555.2896257042885,0.7762008772956001,0.004400364682078361
27,16.501877004241944,2.966252919006348,0.0998,relu,naive_uniform,1.0,655.2455995016628,4804.130670580599,0.7764736281500922,0.004391330480575562
28,12.748828964233399,2.4771034660339355,0.0963,relu,naive_uniform,1.0,677.7329690853754,4968.512841675017,0.7765897909800211,0.0043894387781620026
29,10.832236067581176,2.397361994934082,0.0967,relu,naive_uniform,1.0,690.0586484968662,5065.169881151782,0.7766598595513238,0.004379984363913536
30,11.608392179870606,2.3027433044433594,0.0967,relu,naive_uniform,1.0,707.1834222575029,5197.710840735171,0.7767477035522461,0.004405786097049713
31,9.761319450378418,2.302785446929932,0.0963,relu,naive_uniform,1.0,704.0102623320288,5173.85921457741,0.7767279942830404,0.0044005710631608965
32,9.699654637145995,2.302706633758545,0.0973,relu,naive_uniform,1.0,685.5521569458974,5045.426013741228,0.7766234344906278,0.004383239150047302
33,8.253951898956299,2.30273367767334,0.0973,relu,naive_uniform,1.0,660.3826345685455,4862.644189112716,0.7764630317687988,0.0043987415730953215
1,20.812175268554686,9.667886695861817,0.0991,tanh,naive_uniform,1.0,0.08820674816767375,0.9232843385802375,0.0,202.8030231691897
2,14.091003317260743,4.492858715820312,0.102,tanh,naive_uniform,1.0,0.10011429712176323,0.9106241861979166,0.0,85.72287417799234
3,13.298412673950196,3.9293524574279783,0.1008,tanh,naive_uniform,1.0,0.10766408716638882,0.9067738718456693,0.0,38.907529989629985
4,13.084259684753418,3.2402126441955565,0.0959,tanh,naive_uniform,1.0,0.11646002179218663,0.8987542192141215,0.0,32.62331462632865
5,12.754276409912109,2.8018426639556884,0.0944,tanh,naive_uniform,1.0,0.11744972690939903,0.8944896393352084,0.0,37.46857752669602
6,12.576165953063965,3.2084649421691895,0.1107,tanh,naive_uniform,1.0,0.11583496299054888,0.8955847885873582,0.0,29.232584397494794
7,12.326577423095703,3.359113126373291,0.1031,tanh,naive_uniform,1.0,0.1183173693716526,0.8925617006089952,0.0,16.41373627828434
8,12.168057650756836,3.3108105140686037,0.0961,tanh,naive_uniform,1.0,0.11535379249188635,0.8932623465855917,0.0,18.225287857558577
1,2.3026973503112793,2.3026830814361574,0.0967,relu,naive_uniform,0.005,1.7345985305385757e-05,0.00015145826770615806,0.6362597147623698,0.004592949301951574
2,2.302689093399048,2.3027170120239258,0.0967,relu,naive_uniform,0.005,4.80437346401699e-07,4.672533085191874e-06,0.5919311576419406,0.004396134987473488
3,2.302684663772583,2.302741857147217,0.0963,relu,naive_uniform,0.005,2.0283359180963017e-14,2.2831596985678455e-13,0.5902261734008789,0.004381478950381279
4,2.302679676055908,2.302782012939453,0.0963,relu,naive_uniform,0.005,1.141731314508252e-20,9.958559513651516e-20,0.599331882264879,0.004383451864123344
1,2.1197655347824096,1.8388456390380858,0.3316,tanh,naive_uniform,0.005,-0.007413859716002157,0.0514605131207241,2.6490953233506943e-08,0.6023351304233074
2,1.6451400356292725,1.5051903133392335,0.4413,tanh,naive_uniform,0.005,-0.030143063184772875,0.07482883644600709,0.0,1.0583734087646008
3,1.3898028903961182,1.2489062269210816,0.5565,tanh,naive_uniform,0.005,-0.028976364148547873,0.07850183660371436,0.0,0.5539310120046139
4,1.2180972152709961,1.1795476885795593,0.5886,tanh,naive_uniform,0.005,-0.03739835061828166,0.08265183276186387,0.0,0.8084879860281944
5,1.1088725625038147,1.0805575035095214,0.6188,tanh,naive_uniform,0.005,-0.04006998028732293,0.09821012729985847,0.0,1.2887042842805385
6,1.0161863107681275,1.0735667856693267,0.6274,tanh,naive_uniform,0.005,-0.043922302649459906,0.10297250902901094,0.0,1.2829858694225549
7,0.9445522661209107,0.9964318534851074,0.6559,tanh,naive_uniform,0.005,-0.05261152299903592,0.10611866352458794,0.0,1.0509266078472137
8,0.8784651962280273,0.9309145294189453,0.6857,tanh,naive_uniform,0.005,-0.05628963478698602,0.10986742449717389,0.0,1.1744603592902423
