epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
21,2.302685694,2.302759577,0.0967,relu,naive_uniform,0.005,1.75E-32,0,0.690368387,0.004401418
32,2.302662207,2.302828407,0.0967,relu,naive_uniform,0.005,4.09E-29,0,0.633710225,0.004418094
35,2.302676433,2.302821452,0.0967,relu,naive_uniform,0.005,5.84E-38,0,0.629018439,0.004425253
41,2.302724093,2.302765788,0.0967,relu,naive_uniform,0.005,4.22E-41,0,0.660624584,0.004397817
43,2.302788651,2.302761914,0.0967,relu,naive_uniform,0.005,1.83E-09,2.06E-08,0.653459681,0.004424647
48,2.302675961,2.302781351,0.0967,relu,naive_uniform,0.005,1.77E-06,1.99E-05,0.712967899,0.004599788
49,2.302701055,2.302779628,0.0967,relu,naive_uniform,0.005,5.03E-11,5.67E-10,0.69293091,0.004388233
18,168.0628577,13.21033179,0.097,relu,naive_uniform,1,128.2826222,975.6551298,0.777036455,0.00438259
21,81.26333,5.35675038,0.097,relu,naive_uniform,1,140.2831303,1076.082662,0.776548015,0.004382065
22,58.36057059,4.588884127,0.0972,relu,naive_uniform,1,146.0483924,1123.899498,0.776216163,0.00438196
32,10.78627725,2.302708282,0.0973,relu,naive_uniform,1,175.023337,1368.021956,0.774940782,0.004387137
33,10.97021423,2.302733767,0.0973,relu,naive_uniform,1,181.3404053,1420.441528,0.77410237,0.004399544
34,8.708370624,2.302814084,0.0973,relu,naive_uniform,1,186.8689479,1465.664028,0.774321768,0.004415584
36,6.296466027,2.302789571,0.0973,relu,naive_uniform,1,187.2939476,1472.938512,0.773949888,0.0044271
37,3.310377752,2.302776594,0.0973,relu,naive_uniform,1,189.3674829,1489.598114,0.773877197,0.004415572
40,2.587042001,2.302721764,0.0973,relu,naive_uniform,1,208.1730679,1636.80141,0.773117622,0.004373465
47,3.43668571,2.302762961,0.0973,relu,naive_uniform,1,227.5059638,1775.49534,0.772266044,0.004429602
48,2.302557771,2.302771603,0.0973,relu,naive_uniform,1,227.5058266,1775.494083,0.772265938,0.004415165
5,2.302678616,2.302785321,0.0973,relu,naive_uniform,0.005,2.63E-05,0.000123691,0.647659275,0.004403823
6,2.302669035,2.302766322,0.0973,relu,naive_uniform,0.005,1.83E-05,9.99E-05,0.63244168,0.004412142
9,2.302686524,2.302795753,0.0973,relu,naive_uniform,0.005,1.13E-08,1.24E-07,0.669693788,0.004408592
26,2.302726722,2.30270886,0.0973,relu,naive_uniform,0.005,1.83E-37,0,0.680106137,0.00435766
28,2.302671181,2.302731883,0.0973,relu,naive_uniform,0.005,4.27E-41,0,0.692379342,0.004396288
30,2.302680307,2.302779714,0.0973,relu,naive_uniform,0.005,1.42E-05,0.000159899,0.68784923,0.006658347
36,2.302716939,2.302781943,0.0973,relu,naive_uniform,0.005,4.31E-41,0,0.667003261,0.004433813
37,2.302676047,2.302773624,0.0973,relu,naive_uniform,0.005,6.96E-38,0,0.625245863,0.00441132
38,2.302694618,2.302764165,0.0973,relu,naive_uniform,0.005,3.74E-24,3.88E-23,0.631754054,0.004420276
39,2.302691301,2.302737263,0.0973,relu,naive_uniform,0.005,5.46E-20,6.16E-19,0.62724434,0.004409529
42,2.30272827,2.302770972,0.0973,relu,naive_uniform,0.005,1.82E-05,0.000204746,0.654508061,0.006112178
46,2.302681585,2.302703308,0.0973,relu,naive_uniform,0.005,3.34E-08,3.76E-07,0.686269734,0.004434735
20,104.0655077,6.725486429,0.0974,relu,naive_uniform,1,135.8830888,1039.945429,0.776739544,0.004429579
16,279.6750511,28.72130465,0.0975,relu,naive_uniform,1,120.9676303,913.9668453,0.777342478,0.004435143
19,141.9734833,9.417547971,0.0975,relu,naive_uniform,1,132.4449124,1011.187724,0.776868317,0.004399819
