epoch,train_loss,val_loss,val_acc,activation,init,act_mean,act_std,frac_zero,grad_norm
13,0.61295009,0.817283476,0.726,tanh,xavier,-0.100448685,0.663180134,2.65E-08,0.560410132
17,0.522858962,0.849117731,0.7265,tanh,xavier,-0.117475539,0.673214745,0,0.92242402
12,0.655055465,0.798156015,0.7303,tanh,xavier,-0.095696013,0.658213197,0,0.677179831
18,0.499628785,0.841841004,0.7338,tanh,xavier,-0.117943631,0.675002005,0,0.937276695
26,0.404541756,0.865525393,0.738,tanh,xavier,-0.132560706,0.689516069,0,0.828671381
14,0.593067232,0.788326414,0.739,tanh,xavier,-0.104924906,0.664714384,0,0.591093383
22,0.442877285,0.850289964,0.7395,tanh,xavier,-0.124018444,0.682332433,0,0.753966176
15,0.582643968,0.788792276,0.7428,tanh,xavier,-0.111021603,0.669794096,0,0.676568717
31,0.381102402,0.908651057,0.7428,tanh,xavier,-0.134071768,0.696374478,0,0.799415328
19,0.485181886,0.801884477,0.7431,tanh,xavier,-0.123552683,0.676559404,2.65E-08,0.697399383
20,0.471851552,0.794252616,0.7435,tanh,xavier,-0.124190955,0.678107202,0,0.679836919
24,0.428365364,0.827924014,0.7454,tanh,xavier,-0.126413387,0.687082811,0,0.738128481
40,0.331330669,0.916920679,0.7461,tanh,xavier,-0.13763869,0.702020559,0,1.038552004
25,0.415768081,0.831262208,0.7463,tanh,xavier,-0.126517613,0.688203956,0,0.751101115
21,0.462150959,0.790704207,0.7486,tanh,xavier,-0.129177195,0.679840245,5.30E-08,0.709474844
35,0.349211174,0.911073558,0.7493,tanh,xavier,-0.135450045,0.698013296,0,0.892278139
36,0.341571639,0.875882042,0.7506,tanh,xavier,-0.139172095,0.699503172,0,0.984372085
44,0.299068759,0.959673546,0.7506,tanh,xavier,-0.143570072,0.707240449,0,0.968419608
48,0.320506208,0.948950441,0.7508,tanh,xavier,-0.140557171,0.708708591,0,1.18315869
33,0.347792189,0.875100966,0.7509,tanh,xavier,-0.13671673,0.69511773,0,0.922778768
27,0.400646309,0.851718414,0.7516,tanh,xavier,-0.134204288,0.688686005,0,0.71891909
38,0.330361998,0.896582907,0.7526,tanh,xavier,-0.144084079,0.700617764,0,1.042395416
23,0.440950687,0.79164573,0.7539,tanh,xavier,-0.128095227,0.684650718,2.65E-08,0.608587751
46,0.31855411,0.906645465,0.7553,tanh,xavier,-0.149696315,0.705633447,2.65E-08,1.069223328
49,0.308842901,0.934328168,0.7558,tanh,xavier,-0.148440846,0.707200347,0,0.993366406
42,0.324222272,0.902944135,0.7567,tanh,xavier,-0.142220093,0.702482336,2.65E-08,0.869768295
34,0.339183246,0.840034761,0.7568,tanh,xavier,-0.144086017,0.695297306,0,1.027530782
37,0.362758494,0.878153455,0.7569,tanh,xavier,-0.140350062,0.700271876,0,0.912999179
41,0.32674553,0.886088651,0.7578,tanh,xavier,-0.147776921,0.703955819,0,0.923455153
30,0.375167057,0.814653949,0.7586,tanh,xavier,-0.13656795,0.692946835,0,0.79256128
39,0.337969367,0.854720143,0.7587,tanh,xavier,-0.144008513,0.698448343,0,0.889992953
28,0.384076922,0.81776892,0.7588,tanh,xavier,-0.132773321,0.693248901,0,0.890035538
45,0.316929588,0.91150681,0.7593,tanh,xavier,-0.144224666,0.707187252,0,0.800857703
32,0.368029617,0.839204461,0.7604,tanh,xavier,-0.135589909,0.693894121,0,0.895668922
43,0.324148653,0.895119137,0.7612,tanh,xavier,-0.140396206,0.705446162,0,1.088511363
29,0.373191285,0.826123522,0.7622,tanh,xavier,-0.130676931,0.693869147,0,0.798849745
50,0.297982506,0.902125145,0.7623,tanh,xavier,-0.145230982,0.708087598,0,1.029710144
47,0.310464856,0.845649673,0.7725,tanh,xavier,-0.150996808,0.704703005,0,1.084578902
